Sample_ID,short_ENA_accession,short_Genbank_accession,Year of Isolation,Month of Isolation,ST_Shortened,Collection,Source,Location,Province,ProvinceLocation,Province_Capital_Latitude,Province_Capital_Longitutde,Hospital,MIC_ESBL,ESBL,MIC_Ampicillin,Ampicillin,MIC_Amoxicillin/Clavulanic Acid,Amoxicillin/Clavulanic Acid,MIC_Piperacillin/Tazobactam,Piperacillin/Tazobactam,MIC_Cefalotin,Cefalotin,MIC_Cefoxitin,Cefoxitin,MIC_Ceftazidime,Ceftazidime,MIC_Ceftriaxone,Ceftriaxone,MIC_Cefepime,Cefepime,MIC_Imipenem,Imipenem,MIC_Meropenem,Meropenem,MIC_Amikacin,Amikacin,MIC_Gentamicin,Gentamicin,MIC_Ciprofloxacin,Ciprofloxacin,MIC_Tigecycline,Tigecycline,MIC_Nitrofurantoin,Nitrofurantoin,MIC_Trimethoprim/ Sulfamethoxazole,Trimethoprim/ Sulfamethoxazole
N30,ERR12055275,SAMN37449885,2022,3,ST101,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,8,*I,>= 16,R,>= 4,R,4,I,>= 512,R,40,S
R860,ERR12178250,SAMN38154129,2022,8,ST101,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,2,S,>= 512,R,40,S
R69,ERR12055256,SAMN37449914,2022,3,ST101,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,<= 1,S,>= 4,R,2,S,256,R,<= 20,S
R374,ERR12178210,SAMN38154124,2022,4,ST101,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,>= 64,R,<= 1,S,>= 4,R,4,I,>= 512,R,>= 320,R
R238,ERR12055260,SAMN37449913,2022,4,ST101,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,4,I,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,>= 512,R,160,R
R186,ERR12178129,SAMN38154114,2022,3,ST101,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,16,*R,>= 64,R,>= 64,R,2,S,>= 16,R,<= 2,S,>= 16,R,>= 4,R,<= 0.5,S,>= 512,R,40,S
R123,ERR12055253,SAMN37449908,2022,3,ST101,MOH,BC,Riyadh,Riyadh,Center,24.72857381,46.68651858,RRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,<= 2,S,>= 16,R,>= 4,R,<= 0.5,S,>= 512,R,40,S
N906,ERR12178193,SAMN38154098,2022,11,ST101,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,1*,*I,8,I,<= 2,S,<= 1,S,>= 4,R,2,S,>= 512,R,40,S
N70,ERR12055285,SAMN37449889,2022,3,ST101,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,8,*I,>= 16,R,>= 4,R,2,S,>= 512,R,40,S
N675,ERR12205228,SAMN38154094,2022,8,ST101,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,8,*I,>= 16,R,>= 4,R,2,S,256,R,<= 20,S
N445,ERR12055276,SAMN37449886,2022,7,ST101,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,8,*I,>= 16,R,>= 4,R,4,I,>= 512,R,40,S
N25,ERR12178217,SAMN38154088,2022,7,ST101,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,2,S,>= 16,R,32,I,>= 16,R,>= 4,R,4,I,>= 512,R,>= 320,R
N162,ERR12178239,SAMN38154086,2022,4,ST101,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHC,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,4,I,>= 16,R,8,*I,>= 16,R,>= 4,R,4,I,>= 512,R,40,S
